player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Mark Petry,123053,G,SYRACUSE,12,100.0,0,304,60.9,66.1,56.5,3,17,596,100.0,100.0,97.8,3,23,3,958,0,0,0,958,632,632,956,0,326,0
Ryan Linthicum,144122,C,CLEMSON,13,100.0,1,140,66.9,69.9,63.9,3,14,524,100.0,100.0,97.8,2,20,3,899,899,0,0,899,554,554,0,0,345,0
Blake Miller,156248,T,CLEMSON,13,100.0,0,140,75.1,77.1,68.2,2,14,503,100.0,100.0,98.2,1,17,1,861,0,0,101,861,533,533,0,754,328,6
Ryan Baer,156362,T,PITTSBURGH,12,100.0,0,268,57.3,53.2,63.6,6,30,550,100.0,100.0,95.8,6,41,5,853,0,0,308,853,590,590,0,545,263,0
BJ Williams,170127,G,PITTSBURGH,12,100.0,1,268,65.5,70.8,63.0,7,13,550,100.0,100.0,97.6,3,23,3,853,0,0,0,853,590,590,853,0,263,0
Keylan Rutledge,156597,G,GA TECH,12,100.0,0,176,64.4,78.5,60.4,1,3,394,100.0,100.0,99.5,2,4,0,833,0,0,2,833,413,413,830,0,420,1
Jordan Seaton,183886,T,COLORADO,12,100.0,3,143,67.4,77.1,61.2,5,20,536,100.0,100.0,97.3,14,27,2,816,0,0,816,816,578,578,0,0,238,0
Matt Craycraft,162694,C,DUKE,12,100.0,0,154,68.6,77.7,63.4,0,4,439,100.0,100.0,99.1,1,6,2,811,811,0,0,811,466,466,0,0,345,0
Brian Parker II,162699,T,DUKE,12,100.0,1,154,79.9,86.6,69.8,1,5,439,100.0,100.0,99.3,3,6,0,810,0,0,50,810,466,466,0,758,344,2
Jacarrius Peak,157418,T,NC STATE,12,99.9,2,248,78.7,79.6,75.9,2,11,428,99.8,99.8,98.0,7,15,2,779,0,1,40,780,459,460,0,723,320,12
Anthony Carter Jr.,122856,G,NC STATE,12,99.7,2,248,69.1,70.8,69.0,2,10,424,99.8,99.6,98.6,5,12,0,765,0,762,0,767,454,456,0,0,311,1
