player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Trebor Pena,123051,WR,SYRACUSE,13,7.6,14,77.8,78.3,18,23,0,5.6,5,49,304,1,76.8,72.5,78.2,,78.3,0.0,0,2,50,0.0,0,566,2,84,93.6,530,79.3,449,122.7,108,9,20.3,115,932,475,5.7,11.1,1.76
Antonio Williams,156241,WR,CLEMSON,14,10.2,14,74.3,57.9,11,19,0,9.6,8,42,140,0,63.9,73.0,74.1,,72.6,0.2,1,1,57,0.0,0,465,1,75,95.3,443,57.8,269,133.6,101,11,40.6,189,908,339,4.5,12.1,2.05
Lewis Bond,143817,WR,BOSTON COL,13,8.2,21,71.3,66.7,10,15,0,4.3,3,33,121,1,82.0,52.8,72.1,,72.5,0.0,0,0,49,0.0,0,395,2,67,95.9,379,55.7,220,102.7,94,3,44.3,175,690,292,4.4,10.3,1.82
Malik Rutherford,143929,WR,GA TECH,13,6.5,14,74.7,33.3,2,6,0,8.8,6,33,176,1,66.4,33.1,70.6,,73.9,0.6,2,0,52,0.0,0,312,0,62,95.8,299,78.5,245,111.6,83,3,18.3,57,702,469,7.6,11.3,2.35
Raphael Williams Jr.,149997,WR,PITTSBURGH,13,14.3,0,46.3,47.1,8,17,0,11.9,5,24,268,0,43.5,72.6,51.9,60.9,52.3,0.2,1,7,35,0.2,1,560,2,37,92.5,518,89.5,501,51.4,80,6,8.9,50,426,88,2.4,11.5,0.82
Dillon Bell,163734,WR,GEORGIA,13,12.0,5,57.3,52.0,13,25,0,12.2,6,24,173,0,63.0,76.3,64.2,,62.4,0.0,0,1,67,0.0,0,393,0,43,92.6,364,6.6,26,88.0,75,4,93.4,367,466,146,3.4,10.8,1.28
Sahmir Hagans,143854,WR,DUKE,13,7.5,6,62.7,42.9,6,14,1,4.1,2,25,154,2,80.6,26.8,63.4,,66.7,1.0,3,2,65,0.0,0,299,1,47,93.3,279,78.3,234,79.3,75,3,19.7,59,410,299,6.4,8.7,1.47
Bryant Wesco Jr.,183206,WR,CLEMSON,12,13.6,5,56.2,43.8,7,16,0,4.7,2,29,140,0,78.1,73.0,70.8,,71.5,0.6,2,0,76,0.0,0,332,0,41,96.4,320,11.4,38,112.1,73,5,88.0,292,707,250,6.1,17.2,2.21
T.J. Moore,189369,WR,CLEMSON,14,12.6,2,63.4,36.8,7,19,0,10.0,5,29,140,1,63.0,43.7,67.8,,68.3,0.0,0,0,41,0.0,0,362,2,45,94.8,343,7.5,27,116.5,71,5,92.5,335,650,215,4.8,14.4,1.9
Kenny Johnson,175419,WR,PITTSBURGH,13,13.7,8,65.7,80.0,12,15,0,4.2,2,26,268,0,68.9,81.4,67.1,,66.3,0.0,0,4,46,0.0,0,430,1,46,91.9,395,13.3,57,79.3,70,3,86.7,373,537,104,2.3,11.7,1.36
Desmond Reid,159936,HB,PITTSBURGH,11,2.3,22,72.9,50.0,2,4,0,5.6,3,26,268,0,76.8,91.5,77.2,21.9,76.1,0.0,0,1,72,10.3,40,388,0,51,83.8,325,11.6,45,110.4,70,4,6.2,24,580,540,10.6,11.4,1.78
Justin Joly,158620,TE,NC STATE,13,10.1,12,75.4,84.6,11,13,0,6.5,3,28,248,0,73.2,73.3,70.5,74.7,72.3,34.0,140,2,40,3.6,15,412,0,43,89.6,369,62.1,256,122.0,57,4,2.9,12,661,254,5.9,15.4,1.79
Que'Sean Brown,170041,WR,DUKE,13,8.6,11,75.9,44.4,4,9,0,2.4,1,16,154,0,84.9,86.2,72.6,,75.0,0.5,1,0,43,0.0,0,185,1,41,95.7,177,80.0,148,112.0,54,2,18.4,34,445,267,6.5,10.9,2.51
Noah Rogers,170266,WR,NC STATE,13,12.0,2,70.8,61.5,8,13,0,5.6,2,18,248,1,74.7,35.0,66.2,,65.6,0.0,0,0,75,0.0,0,252,1,34,92.1,232,10.3,26,109.2,48,1,89.7,226,474,167,4.9,13.9,2.04
Darrell Gill Jr.,176036,WR,SYRACUSE,12,15.2,2,64.6,68.8,11,16,0,0.0,0,23,304,1,89.5,36.2,65.9,,65.5,0.0,0,1,53,0.0,0,331,0,31,93.4,309,21.5,71,109.1,48,2,78.5,260,553,145,4.7,17.8,1.79
