player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Demond Claiborne,157523,HB,WAKE,12,229,45,11,28.4,299,0,1047,2,10,44,735,69.6,25,57,339,0,116,65.0,74.9,56.2,,63.0,72.7,73.9,55.3,60,2,250,22,169,250,6,1,29,250,11,1053,742,3.24,4.6,1.48,108
Jamal Haynes,143918,HB,GA TECH,12,152,27,12,50.9,411,0,808,2,11,27,499,71.3,19,35,176,2,85,70.8,65.5,24.8,,29.1,56.9,71.1,48.3,68,2,134,23,221,253,0,0,30,175,9,808,499,3.28,5.3,0.61,67
Desmond Reid,159936,HB,PITTSBURGH,10,152,29,10,42.3,338,0,799,2,21,29,434,72.1,19,39,268,0,62,90.8,74.8,85.9,,22.2,77.2,76.2,56.4,72,0,565,46,302,167,0,0,64,198,4,799,434,2.86,5.3,1.87,82
Nate Frazier,191146,HB,GEORGIA,11,123,20,6,21.0,123,0,587,2,3,20,349,49.4,14,33,173,2,48,64.9,77.7,25.4,,68.6,36.2,82.5,57.0,40,1,59,9,96,141,0,0,12,132,8,587,349,2.84,4.8,0.61,75
Haynes King,124329,QB,GA TECH,10,116,16,10,40.5,228,0,527,0,0,13,266,28.1,21,43,176,6,80,62.8,89.3,87.4,84.3,62.2,,76.0,60.1,30,0,0,0,0,326,36,5,0,111,11,563,300,2.59,4.9,,10
Cade Klubnik,156253,QB,CLEMSON,13,88,14,2,18.8,105,1,319,0,0,5,100,13.0,19,32,140,8,22,54.7,89.4,89.4,87.1,62.2,51.6,69.4,60.1,55,2,0,0,2,328,239,26,0,62,7,558,275,3.13,6.3,0.0,11
Kyron Drones,144506,QB,VA TECH,9,87,19,1,12.6,53,0,274,0,0,14,218,58.9,13,31,337,6,30,51.0,79.6,86.7,73.2,,78.4,73.4,60.2,53,1,-2,2,3,264,145,16,2,73,6,419,307,3.53,4.8,-0.67,23
Tate Carney,157522,HB,WAKE,12,83,15,1,5.2,18,0,345,0,0,15,217,42.6,7,25,339,0,52,85.9,67.9,82.9,,26.5,74.7,71.5,52.9,18,0,113,9,84,98,0,0,11,92,6,345,217,2.61,4.2,1.35,31
Isaiah Augustave,172398,HB,COLORADO,10,81,22,3,20.9,77,0,368,1,3,22,274,91.9,6,24,143,1,16,70.1,73.0,83.4,,34.3,44.6,82.6,57.7,37,1,62,11,135,99,0,0,12,92,4,368,274,3.38,4.5,0.46,65
Kendrick Raphael,170378,HB,NC STATE,11,74,19,8,42.5,178,0,419,3,4,19,245,90.7,14,23,248,1,13,68.9,67.0,83.2,,33.1,42.9,74.4,58.5,40,0,41,10,95,102,0,0,15,84,3,419,245,3.31,5.7,0.43,60
Peyton Jones,170051,HB,DUKE,11,74,8,6,39.8,119,0,299,0,1,8,166,24.9,9,15,154,0,27,85.6,64.3,81.2,,21.4,69.1,66.0,60.0,27,0,81,7,85,80,0,0,8,81,3,299,166,2.24,4.0,0.95,47
CJ Bailey,183349,QB,NC STATE,11,73,24,0,0.0,0,0,133,0,0,10,66,36.5,12,19,248,7,14,45.0,73.3,77.1,71.5,62.2,51.6,65.4,60.6,31,1,-6,1,2,256,224,31,1,43,5,357,238,3.26,4.9,-3.0,11
