gt_team,opponent,type,gt_lb_name,gt_lb_position,gt_lb_run_defense,gt_lb_pass_defense,opp_te_pass_grade,opp_te_run_grade,opp_te_name,opp_te_targets,delta_run,delta_pass
GA TECH,BOSTON COL,vs_offense_avg,Kyle Efford,LB,68.0,64.5,63.2,63.2,,,4.8,1.3
GA TECH,BOSTON COL,vs_te_rank_1,Kyle Efford,LB,68.0,64.5,60.3,60.3,Jeremiah Franklin,41.0,7.7,4.2
GA TECH,BOSTON COL,vs_te_rank_2,Kyle Efford,LB,68.0,64.5,71.5,71.5,Kaelan Chudzinski,19.0,-3.5,-7.0
GA TECH,BOSTON COL,vs_te_rank_3,Kyle Efford,LB,68.0,64.5,48.9,48.9,Zeke Moore,3.0,19.1,15.6
GA TECH,BOSTON COL,vs_te_rank_4,Kyle Efford,LB,68.0,64.5,65.3,65.3,Ty Lockwood,2.0,2.7,-0.8
GA TECH,BOSTON COL,vs_offense_avg,Melvin Jordan IV,LB,78.1,71.7,63.2,63.2,,,14.9,8.5
GA TECH,BOSTON COL,vs_te_rank_1,Melvin Jordan IV,LB,78.1,71.7,60.3,60.3,Jeremiah Franklin,41.0,17.8,11.4
GA TECH,BOSTON COL,vs_te_rank_2,Melvin Jordan IV,LB,78.1,71.7,71.5,71.5,Kaelan Chudzinski,19.0,6.6,0.2
GA TECH,BOSTON COL,vs_te_rank_3,Melvin Jordan IV,LB,78.1,71.7,48.9,48.9,Zeke Moore,3.0,29.2,22.8
GA TECH,BOSTON COL,vs_te_rank_4,Melvin Jordan IV,LB,78.1,71.7,65.3,65.3,Ty Lockwood,2.0,12.8,6.4
GA TECH,BOSTON COL,vs_offense_avg,E.J. Lightsey,LB,71.8,61.1,63.2,63.2,,,8.6,-2.1
GA TECH,BOSTON COL,vs_te_rank_1,E.J. Lightsey,LB,71.8,61.1,60.3,60.3,Jeremiah Franklin,41.0,11.5,0.8
GA TECH,BOSTON COL,vs_te_rank_2,E.J. Lightsey,LB,71.8,61.1,71.5,71.5,Kaelan Chudzinski,19.0,0.3,-10.4
GA TECH,BOSTON COL,vs_te_rank_3,E.J. Lightsey,LB,71.8,61.1,48.9,48.9,Zeke Moore,3.0,22.9,12.2
GA TECH,BOSTON COL,vs_te_rank_4,E.J. Lightsey,LB,71.8,61.1,65.3,65.3,Ty Lockwood,2.0,6.5,-4.2
GA TECH,BOSTON COL,vs_offense_avg,Cayman Spaulding,LB,76.3,51.8,63.2,63.2,,,13.1,-11.4
GA TECH,BOSTON COL,vs_te_rank_1,Cayman Spaulding,LB,76.3,51.8,60.3,60.3,Jeremiah Franklin,41.0,16.0,-8.5
GA TECH,BOSTON COL,vs_te_rank_2,Cayman Spaulding,LB,76.3,51.8,71.5,71.5,Kaelan Chudzinski,19.0,4.8,-19.7
GA TECH,BOSTON COL,vs_te_rank_3,Cayman Spaulding,LB,76.3,51.8,48.9,48.9,Zeke Moore,3.0,27.4,2.9
GA TECH,BOSTON COL,vs_te_rank_4,Cayman Spaulding,LB,76.3,51.8,65.3,65.3,Ty Lockwood,2.0,11.0,-13.5
GA TECH,BOSTON COL,vs_offense_avg,Tah'j Butler,LB,60.1,78.7,63.2,63.2,,,-3.1,15.5
GA TECH,BOSTON COL,vs_te_rank_1,Tah'j Butler,LB,60.1,78.7,60.3,60.3,Jeremiah Franklin,41.0,-0.2,18.4
GA TECH,BOSTON COL,vs_te_rank_2,Tah'j Butler,LB,60.1,78.7,71.5,71.5,Kaelan Chudzinski,19.0,-11.4,7.2
GA TECH,BOSTON COL,vs_te_rank_3,Tah'j Butler,LB,60.1,78.7,48.9,48.9,Zeke Moore,3.0,11.2,29.8
GA TECH,BOSTON COL,vs_te_rank_4,Tah'j Butler,LB,60.1,78.7,65.3,65.3,Ty Lockwood,2.0,-5.2,13.4
GA TECH,NC STATE,vs_offense_avg,Kyle Efford,LB,68.0,64.5,74.13,74.13,,,-6.13,-9.63
GA TECH,NC STATE,vs_te_rank_1,Kyle Efford,LB,68.0,64.5,74.5,74.5,Justin Joly,44.0,-6.5,-10.0
