gt_team,opponent,type,player,player_run_grade,opp_lb_grade,opp_lb_name,opp_lb_snaps,delta
GA TECH,BOSTON COL,vs_defense_avg,Haynes King,73.8,57.85,,,15.95
GA TECH,BOSTON COL,vs_lb_rank_1,Haynes King,73.8,56.0,Owen McGowan,402.0,17.8
GA TECH,BOSTON COL,vs_lb_rank_2,Haynes King,73.8,60.0,Daveon Crouch,149.0,13.8
GA TECH,BOSTON COL,vs_lb_rank_3,Haynes King,73.8,61.1,Bryce Steele,118.0,12.7
GA TECH,BOSTON COL,vs_lb_rank_4,Haynes King,73.8,58.3,Jason Hewlett Jr.,85.0,15.5
GA TECH,BOSTON COL,vs_defense_avg,Jamal Haynes,73.1,57.85,,,15.25
GA TECH,BOSTON COL,vs_lb_rank_1,Jamal Haynes,73.1,56.0,Owen McGowan,402.0,17.1
GA TECH,BOSTON COL,vs_lb_rank_2,Jamal Haynes,73.1,60.0,Daveon Crouch,149.0,13.1
GA TECH,BOSTON COL,vs_lb_rank_3,Jamal Haynes,73.1,61.1,Bryce Steele,118.0,12.0
GA TECH,BOSTON COL,vs_lb_rank_4,Jamal Haynes,73.1,58.3,Jason Hewlett Jr.,85.0,14.8
GA TECH,BOSTON COL,vs_defense_avg,Malachi Hosley,82.3,57.85,,,24.45
GA TECH,BOSTON COL,vs_lb_rank_1,Malachi Hosley,82.3,56.0,Owen McGowan,402.0,26.3
GA TECH,BOSTON COL,vs_lb_rank_2,Malachi Hosley,82.3,60.0,Daveon Crouch,149.0,22.3
GA TECH,BOSTON COL,vs_lb_rank_3,Malachi Hosley,82.3,61.1,Bryce Steele,118.0,21.2
GA TECH,BOSTON COL,vs_lb_rank_4,Malachi Hosley,82.3,58.3,Jason Hewlett Jr.,85.0,24.0
GA TECH,NC STATE,vs_defense_avg,Haynes King,73.8,73.09,,,0.71
GA TECH,NC STATE,vs_lb_rank_1,Haynes King,73.8,78.2,Caden Fordham,396.0,-4.4
GA TECH,NC STATE,vs_lb_rank_2,Haynes King,73.8,63.9,Sean Brown,298.0,9.9
GA TECH,NC STATE,vs_lb_rank_3,Haynes King,73.8,80.7,Kenny Soares Jr.,245.0,-6.9
