player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Torey Richardson,76711,CB,TEMPLE,10,2,0,52.9,0,0,306,0,0,65.9,65.2,37.6,51.7,65.2,52.6,0,0,0,1,46,20.7,6,5,5,60.0,18,0,0,27,448,258,511,9,0,0,9,0,4,502,4,249,23,7,21,1,34,0,0,213,98,11.8
Tyler Brown,98070,G,COLORADO,1,0,0,,1,0,143,0,0,,29.9,68.2,,42.3,,0,0,0,0,,,0,0,3,0.0,0,0,0,0,0,0,3,3,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,
Nate Temple,99726,ED,PITTSBURGH,2,0,0,,0,0,268,0,0,,56.0,75.6,54.9,58.3,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,28,28,0,0,28,0,0,0,14,14,0,0,0,0,0,0,0,0,0,
Latrell Jean,100703,DI,TEMPLE,12,5,0,,0,0,306,0,0,60.0,64.7,85.0,66.4,60.8,56.9,0,10,0,0,,18.2,4,0,0,0.0,0,1,0,1,0,0,428,427,66,320,0,41,0,1,201,227,0,12,13,3,0,11,0,0,0,
DeMonte Capehart,122144,DI,CLEMSON,10,6,2,,0,0,140,0,0,50.3,69.1,20.2,67.3,74.2,80.6,2,3,0,0,,0.0,0,0,2,0.0,0,0,0,0,0,0,233,233,45,177,0,11,0,0,121,112,0,10,16,1,0,5,0,0,0,
R.J. Mickens,122153,S,CLEMSON,12,13,0,69.2,0,0,140,0,0,89.1,86.6,86.4,57.7,73.5,72.0,2,1,0,2,26,13.3,10,5,0,57.1,18,0,0,275,10,383,664,3,0,0,3,0,293,661,12,269,83,24,52,5,26,3,1,103,49,5.7
Tyler Venables,122163,S,CLEMSON,9,2,0,83.3,0,0,140,0,0,63.4,60.1,0.0,53.9,60.2,61.4,0,1,0,0,40,18.8,3,1,1,158.3,5,0,0,63,1,100,161,2,0,0,2,0,74,159,6,55,21,5,11,1,6,1,1,79,35,15.8
Jason Moore,122491,DI,GA TECH,10,3,0,,0,0,176,0,0,,76.6,78.5,66.3,78.0,75.2,0,3,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,98,98,5,91,0,2,0,0,49,49,0,2,2,1,0,3,0,0,0,
Rashad Battle,123003,CB,PITTSBURGH,11,2,0,64.7,1,0,268,1,0,72.1,73.9,84.9,79.7,71.0,65.2,2,0,0,0,43,13.6,6,4,2,121.3,33,0,0,44,483,320,547,15,0,0,15,0,0,532,11,216,4,16,36,1,51,2,5,399,126,12.1
Anwar Sparrow,123054,LB,SYRACUSE,6,3,0,100.0,0,0,304,0,0,59.0,58.4,80.7,52.9,60.1,44.2,2,4,0,0,14,27.3,3,0,0,112.5,2,0,0,83,0,71,126,17,0,0,17,0,1,109,12,43,25,1,5,0,2,6,0,22,12,11.0
Wilfried Pene,123360,DI,VA TECH,12,9,1,,0,0,337,0,0,63.3,67.8,61.9,68.0,63.8,54.5,5,20,0,0,,15.4,4,0,1,0.0,0,1,0,0,0,0,400,400,15,360,14,11,0,0,233,167,0,12,13,4,0,26,0,0,0,
Nick Andersen,123370,S,WAKE,12,38,0,70.6,0,1,339,1,0,72.4,72.5,0.0,58.1,76.8,71.7,1,0,0,2,24,14.4,19,2,4,83.1,24,0,0,259,8,501,849,14,0,0,14,0,512,835,3,345,56,15,75,0,34,1,2,221,76,9.2
Wyatt Crespi,123381,DI,WAKE,8,0,0,,0,0,339,0,0,,63.8,77.4,57.6,65.6,70.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,72,72,5,56,1,10,0,0,33,39,0,1,1,0,0,0,0,0,0,
Tamon Lynum,129699,CB,PITTSBURGH,12,5,0,57.6,1,0,268,0,0,64.5,62.7,25.1,61.9,56.4,50.6,0,0,0,1,45,19.4,7,3,2,78.0,19,1,0,25,345,217,380,6,0,0,6,0,0,374,2,161,2,7,24,1,33,1,1,241,76,12.7
Cameron Martinez,129752,CB,BOSTON COL,9,4,0,79.2,1,0,121,1,0,49.2,54.4,85.4,67.9,70.9,65.5,0,0,0,1,36,15.4,4,0,2,106.9,19,1,0,18,3,130,227,7,0,0,7,0,1,220,6,91,198,5,18,1,24,1,1,252,131,13.3
Preston Hodge,131462,CB,COLORADO,9,7,0,60.6,1,0,143,0,0,58.6,56.4,89.4,53.2,47.1,28.2,0,1,0,2,54,25.5,12,4,4,90.5,43,0,0,54,26,324,584,10,0,0,10,0,1,574,2,258,493,14,28,0,71,1,4,527,304,12.3
Dion Wilson Jr.,131600,DI,SYRACUSE,4,5,0,,0,0,304,0,0,60.0,66.1,81.7,61.6,66.2,65.5,0,4,0,0,,9.1,1,0,0,0.0,0,0,0,0,0,0,141,141,91,50,0,0,0,0,85,56,0,2,5,1,0,4,0,0,0,
Ivan Yates,139049,CB,COLORADO,7,1,0,100.0,0,0,143,0,0,73.1,74.0,76.8,,69.2,82.1,0,0,0,0,5,0.0,0,0,0,83.3,2,0,0,7,19,17,48,2,0,0,2,0,0,46,0,31,20,2,4,0,2,0,0,8,2,4.0
James Jennette,142415,ED,VA TECH,1,0,0,,0,0,337,0,0,,64.8,73.8,64.0,60.0,73.0,1,0,0,0,,,0,0,0,0.0,0,1,0,0,0,0,8,8,0,0,8,0,0,0,6,2,0,1,0,0,0,2,0,0,0,
Josh Gholston,143282,S,VA TECH,1,0,0,,0,0,337,0,0,60.8,60.5,67.5,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,2,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
