player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Cade Klubnik,156253,QB,CLEMSON,14,73.7,457,492,9.4,2.64,5,28,5.4,62.6,308,1,166,8.6,547,29,180,140,52.2,89.3,87.7,67.4,4,6,571,2,15.1,104.4,4.6,25,27,6,20,36,13,2.3,3642,7.4
Evan Simon,129906,QB,TEMPLE,9,72.5,273,307,7.7,2.8,6,12,3.7,58.3,179,1,167,9.6,359,19,95,306,60.2,70.3,72.3,54.3,4,9,381,3,15.6,81.8,7.2,26,26,0,24,15,11,2.9,1997,6.5
CJ Bailey,183349,QB,NC STATE,11,77.5,276,302,8.7,2.9,9,14,4.3,64.9,196,0,115,8.4,361,18,121,248,34.3,74.0,74.3,61.6,5,10,388,1,20.0,94.4,6.4,23,35,0,12,17,18,4.6,2413,8.0
Eli Holstein,172381,QB,PITTSBURGH,10,69.4,271,290,9.5,2.91,9,12,3.9,61.7,179,0,121,4.8,349,9,117,268,28.1,63.1,57.1,72.0,6,7,374,0,17.4,95.0,6.0,21,33,0,4,17,20,5.3,2226,7.7
Haynes King,124329,QB,GA TECH,11,82.3,249,271,6.1,2.46,8,8,2.8,72.3,196,0,60,4.4,285,9,104,176,51.8,85.9,81.0,74.4,0,2,301,0,13.3,108.8,2.8,8,6,2,12,14,3,1.0,2104,7.8
Kyron Drones,144506,QB,VA TECH,9,73.2,205,225,8.6,2.98,4,9,3.8,60.4,136,0,100,9.3,256,14,72,337,51.0,80.1,74.4,73.4,2,6,266,1,13.0,85.1,5.1,13,16,0,14,10,9,3.4,1561,6.9
Grayson James,145214,QB,BOSTON COL,6,76.0,146,166,9.4,2.71,6,7,3.9,63.9,106,0,79,4.5,195,5,66,121,65.8,68.9,64.8,68.9,3,2,207,0,15.2,92.5,6.2,12,15,0,11,6,9,4.3,1203,7.2
Forrest Brock,173260,QB,TEMPLE,3,65.6,96,102,6.7,2.48,3,2,1.8,58.8,60,0,39,4.8,113,3,26,306,32.5,60.5,68.6,41.6,1,5,125,1,20.5,56.0,7.1,8,3,0,2,1,3,2.4,539,5.3
Aaron Philo,183222,QB,GA TECH,4,64.3,70,74,13.6,2.81,2,7,9.5,51.4,38,0,21,15.6,79,7,25,176,73.0,91.3,90.9,69.4,1,2,79,1,0.0,69.9,0.0,0,5,0,1,1,1,1.3,565,7.6
Gunner Stockton,157072,QB,GEORGIA,4,78.0,59,64,7.5,2.64,1,2,3.0,70.3,45,0,31,2.2,76,1,20,173,53.4,56.4,57.2,55.3,1,1,79,0,22.6,88.0,9.2,7,4,0,3,1,3,3.8,440,6.9
